id_case,POST_vote,POST_president,PRE_present_religion,PRE_age,PRE_education,PRE_race,PRE_sex,PRE_occupation
205881,1,2,11,38,4,1,2,1
205898,1,1,11,73,3,1,2,5
205911,-1,-1,12,31,2,1,2,7
205928,1,2,1,69,4,1,2,5
205942,1,1,1,-9,5,1,2,1
205959,1,1,2,45,3,1,2,1
205966,1,1,12,41,3,2,2,2
205973,1,2,1,66,3,1,1,1
206006,-1,-1,1,41,3,1,1,4
206013,1,1,2,62,3,1,2,7
206020,-1,-1,12,31,4,6,1,1
206037,1,2,11,80,3,1,2,5
206044,1,2,2,46,3,1,2,1
206068,1,2,4,70,4,1,1,1
206075,-1,-1,2,21,1,3,2,7
206082,-1,-1,1,77,4,1,2,5
206105,-1,-1,11,66,3,5,1,1
206129,1,5,1,33,3,1,2,1
206136,1,1,1,46,4,1,1,1
206143,2,-1,11,36,2,2,2,1
206150,-1,-1,12,68,2,4,2,5
206167,-1,-1,12,71,4,2,2,6
206174,1,2,4,37,3,1,1,1
206181,1,2,11,30,5,2,1,1
206198,1,1,9,79,4,1,1,5
206204,1,1,1,78,5,6,1,4
206211,1,1,1,47,5,4,1,1
206228,1,1,1,72,2,1,2,5
206235,1,1,2,71,2,1,2,5
206242,1,2,1,36,5,1,1,1
206266,1,1,1,35,5,1,1,1
206273,-1,-1,2,56,2,3,2,1
206280,1,3,1,64,1,1,1,5
206303,-1,-1,9,41,2,1,1,1
206327,1,1,12,50,3,1,1,1
206334,-6,-6,1,77,3,1,2,5
206341,1,2,11,-9,3,6,2,1
206358,1,2,3,31,3,1,2,1
206365,1,1,9,61,4,1,1,5
206372,1,1,1,62,5,1,2,1
206389,1,2,11,57,1,1,1,1
206396,1,1,12,63,5,1,1,1
206402,1,1,1,75,1,1,1,5
206419,-1,-1,2,52,2,1,2,6
206426,1,1,1,64,5,6,2,1
206433,1,2,1,41,3,3,1,1
206440,1,2,1,51,3,1,1,1
206457,1,2,12,45,2,1,1,1
206464,1,1,2,68,3,3,2,5
206471,1,2,1,73,5,1,1,1
206488,1,2,7,65,5,1,1,5
206495,-6,-6,1,52,4,1,1,1
206501,1,2,11,64,3,3,1,5
206518,-1,-1,10,71,3,1,1,1
206525,1,2,1,38,4,5,2,1
206532,1,1,12,24,2,1,2,1
206549,-1,-1,2,66,3,2,2,5
206563,-6,-6,11,50,2,2,2,2
206587,1,1,1,49,4,1,1,4
206594,1,1,8,40,5,4,2,1
206600,1,2,1,73,3,1,1,5
206617,-1,-1,10,65,2,1,1,2
206624,-1,-1,11,34,-2,1,2,1
206631,1,1,2,53,5,1,2,1
206648,1,1,1,39,4,1,2,1
206655,1,1,10,71,2,1,1,1
206662,-1,-1,2,33,3,3,2,1
206679,1,1,12,34,5,1,1,1
206686,1,2,1,59,4,1,2,1
206709,1,2,12,72,1,1,2,5
206716,1,1,2,52,2,1,2,1
206723,-1,-1,2,53,5,1,1,2
206730,1,1,3,35,5,1,1,1
206747,1,2,1,68,4,1,2,5
206754,1,2,12,54,5,4,1,1
206778,1,1,2,74,2,1,2,6
206792,1,2,2,67,3,1,2,5
206815,1,2,2,46,3,1,1,1
206822,1,2,2,57,4,1,1,6
206839,2,-1,4,34,2,2,2,4
206853,1,1,11,56,2,1,2,1
206860,1,1,2,77,3,1,2,5
206877,1,2,1,43,3,3,1,2
206884,1,1,12,66,3,1,2,1
206891,-1,-1,1,-9,5,1,1,1
206907,1,-9,1,60,3,1,1,1
206914,1,2,2,39,4,1,1,1
206921,1,2,1,39,4,1,2,1
206938,1,2,2,-9,2,1,2,7
206945,-1,-1,11,53,3,2,2,6
206983,1,1,5,71,5,1,2,5
206990,1,2,1,76,4,1,2,5
207016,-1,-1,2,80,1,1,1,5
207023,-1,-1,1,76,3,1,2,5
207030,1,2,11,-9,4,1,1,1
207047,1,2,10,49,4,5,1,1
207054,-1,-1,2,37,5,3,1,1
207061,1,2,2,80,3,1,2,5
207078,1,1,11,72,2,1,2,5
207092,1,2,4,51,2,1,1,1
207108,1,1,1,70,4,1,1,5
207115,1,1,11,45,3,2,2,1
207122,1,1,10,31,4,1,2,1
207139,1,1,1,72,5,1,1,5
207153,1,2,2,71,5,1,1,1
207160,1,2,11,67,3,6,1,5
207177,1,3,1,36,5,1,2,1
207184,1,2,2,58,5,1,1,1
207191,1,2,12,64,3,1,1,1
207207,-1,-1,2,34,2,3,1,1
207214,1,1,9,36,5,6,2,1
207221,1,1,11,44,2,3,1,1
207238,1,2,2,54,5,1,2,1
207245,1,1,9,28,5,1,1,1
207252,1,2,12,-9,2,-9,1,1
207276,1,2,2,77,3,1,2,-2
207290,1,2,12,70,5,1,1,5
207306,-1,-1,11,28,1,1,2,4
207313,1,1,10,30,5,3,2,1
207320,1,1,9,37,3,1,1,1
207337,1,2,2,45,2,1,2,1
207344,1,1,9,68,4,1,1,5
207351,-1,-1,10,80,3,1,2,5
207368,1,2,12,41,2,4,2,1
207375,1,1,11,32,5,1,2,1
207382,-1,-1,1,24,4,1,1,1
207399,-1,-1,12,-9,5,1,2,7
207405,1,1,1,42,1,2,1,1
207412,-1,-1,12,26,5,1,2,1
